Model,Cohort,Split,repeat,Experiment,n,MCC,Brier,NLL,MCC eligible
Raw TabM,Current nested-threshold,Development OOF,1,imi_vmx30ui::dataset15,64,0.0,0.14648355778554023,0.6416063067794273,True
Raw TabM,Current nested-threshold,Development OOF,1,imi_vmx30ui::dataset16,64,,0.030376820719280696,0.13138023116743766,False
Raw TabM,Current nested-threshold,Development OOF,1,imi_vmx30ui::dataset6,64,,0.012816959006728294,0.07393969590499377,False
Raw TabM,Current nested-threshold,Development OOF,1,imi_vmx30ui::dataset14,64,0.0,0.14375652740519845,0.41267192228437544,True
Raw TabM,Current nested-threshold,Development OOF,1,imi_vmx30ui::dataset18,64,,3.3270171049584206e-06,0.0005571054188738916,False
Raw TabM,Current nested-threshold,Development OOF,1,imi_vmx30ui::dataset8,64,,0.055746942434887224,0.17015871667374707,False
Raw TabM,Current nested-threshold,Development OOF,1,imi_vmx30ui::dataset11,64,,0.38812067266055095,1.2060866090799691,False
Raw TabM,Current nested-threshold,Development OOF,1,imi_vmx30ui::dataset12,64,,0.009092344730813343,0.0661449214315985,False
Raw TabM,Current nested-threshold,Development OOF,1,imi_vmx30ui::dataset17,27,1.0,1.2095274777288687e-06,0.00035194054850690474,True
Raw TabM,Current nested-threshold,Development OOF,1,imi_vmx30ui::dataset2,12,,0.004550437964886929,0.05108450683984079,False
Raw TabM,Current nested-threshold,Development OOF,1,imi_vmx30ui::dataset4,12,,2.046520028227879e-05,0.0020740474378591984,False
HBAF,Current nested-threshold,Development OOF,2,imi_vmx30ui::dataset11,64,,0.23470135566458444,0.6722189541659678,False
HBAF,Current nested-threshold,Development OOF,2,imi_vmx30ui::dataset15,64,0.0,0.1276798150316496,0.4306295376188839,True
HBAF,Current nested-threshold,Development OOF,2,imi_vmx30ui::dataset16,64,,0.0002353613362687019,0.013395234211513632,False
HBAF,Current nested-threshold,Development OOF,2,imi_vmx30ui::dataset14,64,-0.12803687993289598,0.326078088109416,0.876498700254746,True
HBAF,Current nested-threshold,Development OOF,2,imi_vmx30ui::dataset18,64,,0.0009654330557760087,0.031413311261658736,False
HBAF,Current nested-threshold,Development OOF,2,imi_vmx30ui::dataset6,64,,0.0016701741005029375,0.03611342430719702,False
HBAF,Current nested-threshold,Development OOF,2,imi_vmx30ui::dataset12,64,,9.948663444610065e-05,0.009564571734601915,False
HBAF,Current nested-threshold,Development OOF,2,imi_vmx30ui::dataset17,27,1.0,0.0014079327340658341,0.0167777589962481,True
HBAF,Current nested-threshold,Development OOF,2,imi_vmx30ui::dataset2,12,,0.4902196763005382,1.303992175421311,False
HBAF,Current nested-threshold,Development OOF,2,imi_vmx30ui::dataset4,12,,0.02023554761147563,0.14084900867660696,False
HBAF,Current nested-threshold,Development OOF,2,imi_vmx30ui::dataset8,64,,0.00021475928278605203,0.008525056468606837,False
TabM calibrated,Current nested-threshold,Development OOF,2,imi_vmx30ui::dataset11,64,,0.30361262488075647,0.8408651952664283,False
TabM calibrated,Current nested-threshold,Development OOF,2,imi_vmx30ui::dataset15,64,0.0,0.14575714585418897,0.6861888479516041,True
TabM calibrated,Current nested-threshold,Development OOF,2,imi_vmx30ui::dataset16,64,,0.0001723989884131204,0.0027323166259227713,False
TabM calibrated,Current nested-threshold,Development OOF,2,imi_vmx30ui::dataset14,64,0.4775669329409193,0.45668584678815627,1.985180032031335,True
TabM calibrated,Current nested-threshold,Development OOF,2,imi_vmx30ui::dataset18,64,,4.996767456748783e-06,0.00085229594825331,False
TabM calibrated,Current nested-threshold,Development OOF,2,imi_vmx30ui::dataset6,64,,0.001747121068934652,0.0064421788612342825,False
TabM calibrated,Current nested-threshold,Development OOF,2,imi_vmx30ui::dataset12,64,,1.0958531133728091e-08,6.594494934994928e-05,False
TabM calibrated,Current nested-threshold,Development OOF,2,imi_vmx30ui::dataset17,27,0.0,0.0013062078248981823,0.007707156541438438,True
TabM calibrated,Current nested-threshold,Development OOF,2,imi_vmx30ui::dataset2,12,,0.6025735220804397,2.147080644098826,False
TabM calibrated,Current nested-threshold,Development OOF,2,imi_vmx30ui::dataset4,12,,0.0020884973384201924,0.025331327845989432,False
TabM calibrated,Current nested-threshold,Development OOF,2,imi_vmx30ui::dataset8,64,,0.0001757714989889272,0.002669388396763027,False
GaussianNB calibrated,Current nested-threshold,Development OOF,2,imi_vmx30ui::dataset11,64,,0.22039453276428675,0.6543803150366925,False
GaussianNB calibrated,Current nested-threshold,Development OOF,2,imi_vmx30ui::dataset15,64,0.29277002188455997,0.12169931751103202,0.4088206483741096,True
GaussianNB calibrated,Current nested-threshold,Development OOF,2,imi_vmx30ui::dataset16,64,,0.0006045784651199016,0.024217831029889218,False
GaussianNB calibrated,Current nested-threshold,Development OOF,2,imi_vmx30ui::dataset14,64,-0.14907119849998599,0.2809817088387301,0.7664531461972472,True
GaussianNB calibrated,Current nested-threshold,Development OOF,2,imi_vmx30ui::dataset18,64,,0.003745424501905882,0.06294432325422779,False
GaussianNB calibrated,Current nested-threshold,Development OOF,2,imi_vmx30ui::dataset6,64,,0.004327242370210235,0.06740015690147412,False
GaussianNB calibrated,Current nested-threshold,Development OOF,2,imi_vmx30ui::dataset12,64,,0.00012165214696863613,0.010724312350669741,False
GaussianNB calibrated,Current nested-threshold,Development OOF,2,imi_vmx30ui::dataset17,27,0.0,0.01077319328427839,0.038619687602615915,True
GaussianNB calibrated,Current nested-threshold,Development OOF,2,imi_vmx30ui::dataset2,12,,0.7693789731595885,2.235905793695585,False
GaussianNB calibrated,Current nested-threshold,Development OOF,2,imi_vmx30ui::dataset4,12,,0.23875023540343543,0.724523143201978,False
GaussianNB calibrated,Current nested-threshold,Development OOF,2,imi_vmx30ui::dataset8,64,,6.305554642809884e-05,0.007948324886983868,False
Global learned fusion,Current nested-threshold,Development OOF,2,imi_vmx30ui::dataset11,64,,0.22309198481854814,0.6475750369165704,False
Global learned fusion,Current nested-threshold,Development OOF,2,imi_vmx30ui::dataset15,64,0.0,0.12407417061053022,0.415553571180908,True
Global learned fusion,Current nested-threshold,Development OOF,2,imi_vmx30ui::dataset16,64,,0.0003355372728784477,0.017356579439403684,False
Global learned fusion,Current nested-threshold,Development OOF,2,imi_vmx30ui::dataset14,64,0.0,0.2875103455510762,0.7815908876942985,True
Global learned fusion,Current nested-threshold,Development OOF,2,imi_vmx30ui::dataset18,64,,0.0025218356173137947,0.05133981076322061,False
Global learned fusion,Current nested-threshold,Development OOF,2,imi_vmx30ui::dataset6,64,,0.0030425464941692543,0.055818159957856855,False
Global learned fusion,Current nested-threshold,Development OOF,2,imi_vmx30ui::dataset12,64,,1.0966817675862077e-08,6.600812088397168e-05,False
Global learned fusion,Current nested-threshold,Development OOF,2,imi_vmx30ui::dataset17,27,0.0,0.0013062367451425558,0.007707311406630461,True
Global learned fusion,Current nested-threshold,Development OOF,2,imi_vmx30ui::dataset2,12,,0.6025737503752596,2.1470602606609193,False
Global learned fusion,Current nested-threshold,Development OOF,2,imi_vmx30ui::dataset4,12,,0.0020886773179536115,0.025333538894215777,False
Global learned fusion,Current nested-threshold,Development OOF,2,imi_vmx30ui::dataset8,64,,0.00017576963076627427,0.0026694191999984017,False
Equal fusion,Current nested-threshold,Development OOF,2,imi_vmx30ui::dataset11,64,,0.23470135566458444,0.6722189541659678,False
Equal fusion,Current nested-threshold,Development OOF,2,imi_vmx30ui::dataset15,64,0.0,0.1276798150316496,0.4306295376188839,True
Equal fusion,Current nested-threshold,Development OOF,2,imi_vmx30ui::dataset16,64,,0.0002353613362687018,0.013395234211513625,False
Equal fusion,Current nested-threshold,Development OOF,2,imi_vmx30ui::dataset14,64,-0.12803687993289598,0.32607808971278573,0.8764987046396688,True
Equal fusion,Current nested-threshold,Development OOF,2,imi_vmx30ui::dataset18,64,,0.0009654330083890342,0.03141331047512759,False
Equal fusion,Current nested-threshold,Development OOF,2,imi_vmx30ui::dataset6,64,,0.0016701740581377652,0.0361134235041307,False
Equal fusion,Current nested-threshold,Development OOF,2,imi_vmx30ui::dataset12,64,,3.076861608827027e-05,0.005379901950481364,False
Equal fusion,Current nested-threshold,Development OOF,2,imi_vmx30ui::dataset17,27,1.0,0.004885869591017589,0.021710782794145286,True
Equal fusion,Current nested-threshold,Development OOF,2,imi_vmx30ui::dataset2,12,,0.653849435170496,1.7801758416592595,False
Equal fusion,Current nested-threshold,Development OOF,2,imi_vmx30ui::dataset4,12,,0.06880201079752261,0.25124039659825137,False
Equal fusion,Current nested-threshold,Development OOF,2,imi_vmx30ui::dataset8,64,,6.923848663845001e-05,0.005281656522370113,False
MAP gate,Current nested-threshold,Development OOF,2,imi_vmx30ui::dataset11,64,,0.23470135566458444,0.6722189541659678,False
MAP gate,Current nested-threshold,Development OOF,2,imi_vmx30ui::dataset15,64,0.0,0.1276798150316496,0.4306295376188839,True
MAP gate,Current nested-threshold,Development OOF,2,imi_vmx30ui::dataset16,64,,0.0002353613362687018,0.013395234211513625,False
MAP gate,Current nested-threshold,Development OOF,2,imi_vmx30ui::dataset14,64,-0.12803687993289598,0.3260780637493703,0.8764986336344798,True
MAP gate,Current nested-threshold,Development OOF,2,imi_vmx30ui::dataset18,64,,0.00096543377572809,0.03141332321145367,False
MAP gate,Current nested-threshold,Development OOF,2,imi_vmx30ui::dataset6,64,,0.001670174744158644,0.036113436508211444,False
MAP gate,Current nested-threshold,Development OOF,2,imi_vmx30ui::dataset12,64,,0.00011595914300865756,0.01041827145661199,False
MAP gate,Current nested-threshold,Development OOF,2,imi_vmx30ui::dataset17,27,0.0,0.0014113044664605184,0.017538303308248918,True
MAP gate,Current nested-threshold,Development OOF,2,imi_vmx30ui::dataset2,12,,0.4907349440626181,1.3069880867705552,False
MAP gate,Current nested-threshold,Development OOF,2,imi_vmx30ui::dataset4,12,,0.020275175962672278,0.13986206159580375,False
MAP gate,Current nested-threshold,Development OOF,2,imi_vmx30ui::dataset8,64,,0.00022496711208244783,0.009242466465349984,False
No hierarchy,Current nested-threshold,Development OOF,2,imi_vmx30ui::dataset11,64,,0.2535078505825621,0.7245253453432254,False
No hierarchy,Current nested-threshold,Development OOF,2,imi_vmx30ui::dataset15,64,0.0,0.1381441283019206,0.5877916564223706,True
No hierarchy,Current nested-threshold,Development OOF,2,imi_vmx30ui::dataset16,64,,9.388744124871968e-05,0.004439607530412138,False
No hierarchy,Current nested-threshold,Development OOF,2,imi_vmx30ui::dataset14,64,0.0,0.2809696997502992,0.7664291430102157,True
No hierarchy,Current nested-threshold,Development OOF,2,imi_vmx30ui::dataset18,64,,0.003745391464272385,0.06294403647051618,False
No hierarchy,Current nested-threshold,Development OOF,2,imi_vmx30ui::dataset6,64,,0.0043272058982191455,0.06739986635650941,False
No hierarchy,Current nested-threshold,Development OOF,2,imi_vmx30ui::dataset12,64,,9.948663444610065e-05,0.009564571734601915,False
No hierarchy,Current nested-threshold,Development OOF,2,imi_vmx30ui::dataset17,27,1.0,0.0014079327340658341,0.0167777589962481,True
No hierarchy,Current nested-threshold,Development OOF,2,imi_vmx30ui::dataset2,12,,0.4902196763005382,1.303992175421311,False
No hierarchy,Current nested-threshold,Development OOF,2,imi_vmx30ui::dataset4,12,,0.02023554761147563,0.14084900867660696,False
No hierarchy,Current nested-threshold,Development OOF,2,imi_vmx30ui::dataset8,64,,0.00021475928278605203,0.008525056468606837,False
Raw TabM,Current nested-threshold,Development OOF,2,imi_vmx30ui::dataset11,64,,0.6192429079745871,1.6448355522022706,False
Raw TabM,Current nested-threshold,Development OOF,2,imi_vmx30ui::dataset15,64,0.0,0.14710457889107686,0.6057848773514545,True
Raw TabM,Current nested-threshold,Development OOF,2,imi_vmx30ui::dataset16,64,,0.010889556862659888,0.0560204202490896,False
Raw TabM,Current nested-threshold,Development OOF,2,imi_vmx30ui::dataset14,64,0.46225016352102427,0.303929334547942,1.3799239466053157,True
Raw TabM,Current nested-threshold,Development OOF,2,imi_vmx30ui::dataset18,64,,5.600863961293515e-05,0.0018481215289428191,False
Raw TabM,Current nested-threshold,Development OOF,2,imi_vmx30ui::dataset6,64,,0.010849008494081883,0.02806865250999386,False
Raw TabM,Current nested-threshold,Development OOF,2,imi_vmx30ui::dataset12,64,,0.0001275106401054117,0.009397363198789964,False
Raw TabM,Current nested-threshold,Development OOF,2,imi_vmx30ui::dataset17,27,1.0,0.0005778623197436043,0.00579130040522446,True
Raw TabM,Current nested-threshold,Development OOF,2,imi_vmx30ui::dataset2,12,,0.2918794900554193,0.8002498153377058,False
Raw TabM,Current nested-threshold,Development OOF,2,imi_vmx30ui::dataset4,12,,0.0016463141713289886,0.02892041246868468,False
Raw TabM,Current nested-threshold,Development OOF,2,imi_vmx30ui::dataset8,64,,0.005977413377982592,0.03073390737883725,False
HBAF,Current nested-threshold,Development OOF,3,imi_vmx30ui::dataset11,64,,0.19531352175585573,0.5643025522169572,False
HBAF,Current nested-threshold,Development OOF,3,imi_vmx30ui::dataset12,64,,0.0027361676545770005,0.04914434175193928,False
HBAF,Current nested-threshold,Development OOF,3,imi_vmx30ui::dataset15,64,0.29277002188455997,0.1042826821068002,0.335072957977992,True
