Model,Cohort,Split,repeat,n,MCC,PR-AUC,Macro-F1,AUROC,Precision,Recall,Specificity,FPR,FNR,Balanced Accuracy,Brier,NLL,ECE,Calibration intercept,Calibration slope,Worst-group MCC,Worst-group Brier,Worst-group NLL,Group MCC SD,Eligible MCC groups
LightGBM,Notebook03 nested-threshold,Development OOF,1,563,0.46520486476552014,0.6320337490169653,0.6604605717558667,0.841111030845915,0.41156462585034015,0.952755905511811,0.6032110091743119,0.3967889908256881,0.047244094488188976,0.7779834573430615,0.191778683016328,0.6057989974015691,0.20652723660455471,-1.4241066362232595,0.5274550539392605,0.0,0.4969995033875658,1.5867519637156113,0.1345622379598885,3
LightGBM,Notebook03 nested-threshold,Development OOF,2,563,0.23000569889950928,0.6581152850488917,0.590665132167845,0.8693021743841653,0.34210526315789475,0.6141732283464567,0.6559633027522935,0.3440366972477064,0.3858267716535433,0.6350682655493751,0.15084177042258617,0.45671657736423293,0.10014913376885451,0.8664787359430206,1.293776470054784,0.0,0.5232127110629474,1.39936236908263,0.0,3
LightGBM,Notebook03 nested-threshold,Development OOF,3,563,-0.031013131611312257,0.2712718804464753,0.3188562367130073,0.5437946976811385,0.21929824561403508,0.7874015748031497,0.1834862385321101,0.8165137614678899,0.2125984251968504,0.4854439066676299,0.22352939125345966,0.6579572488850651,0.10907063554597686,-1.0989857315007552,0.17034702969653526,0.0,0.713907242318908,1.9621656650629258,0.1901991340524852,3
LightGBM,Notebook03 nested-threshold,Development OOF,4,563,0.4190126753449892,0.37528139859604104,0.6839228200809621,0.7633099761612367,0.4434389140271493,0.7716535433070866,0.7178899082568807,0.28211009174311924,0.2283464566929134,0.7447717257819837,0.24269135262742603,1.3674666504500363,0.24316069848038754,-1.288557361338863,0.15701186272659853,0.0,0.9993401156848608,8.219358809366431,0.1901991340524852,3
LightGBM,Notebook03 nested-threshold,Development OOF,5,563,0.3393428284991762,0.4814303574778859,0.6620485977718018,0.8107166076717475,0.4350282485875706,0.6062992125984252,0.7706422018348624,0.22935779816513763,0.3937007874015748,0.6884707072166438,0.21534617289405952,0.8983163866396872,0.2202093298449979,-1.081192271826295,0.24212540475953043,0.0,0.9651995369927717,4.683953201891947,0.0,3
CatBoost,Notebook03 nested-threshold,Development OOF,1,563,0.3934391025495063,0.779500049371304,0.6270256818969024,0.9031730838691036,0.38175675675675674,0.889763779527559,0.5802752293577982,0.4197247706422018,0.11023622047244094,0.7350195044426786,0.10095404600295398,0.3375030184181818,0.08614746149888355,-0.40499250407869314,0.7191519524284083,0.0,0.9160178492839042,3.3491489307956512,0.28135740664340325,3
CatBoost,Notebook03 nested-threshold,Development OOF,2,563,0.05343713558576747,0.5693995343263496,0.5241149562450279,0.7701365310987504,0.2608695652173913,0.33070866141732286,0.7270642201834863,0.27293577981651373,0.6692913385826772,0.5288864408004046,0.13565491213649375,0.42519296388639105,0.13203059120323332,-0.04426945397649492,0.5591056643193096,0.0,0.8173201083869852,2.594369692208205,0.2477411176524022,3
CatBoost,Notebook03 nested-threshold,Development OOF,3,563,0.0772737550555726,0.35666613657805346,0.4175615638486926,0.5779455320378529,0.24681933842239187,0.7637795275590551,0.3211009174311927,0.6788990825688074,0.23622047244094488,0.5424402224951239,0.2731840382124132,0.9679826496283791,0.23071326398968334,-1.1556340207255336,0.12506091558651838,0.0,0.8537172497193382,3.4931759233688418,0.40873558486635425,3
CatBoost,Notebook03 nested-threshold,Development OOF,4,563,0.3910419452866405,0.4891489910095058,0.6899590038548614,0.7392906161959113,0.47619047619047616,0.6299212598425197,0.7981651376146789,0.2018348623853211,0.3700787401574803,0.7140431987285993,0.23030065561577537,0.9092529349019561,0.21275056736738374,-0.8616616635638547,0.19814292836492,0.0,0.9650894949332466,4.293733286812981,0.17545990395356129,3
CatBoost,Notebook03 nested-threshold,Development OOF,5,563,0.20692768908473597,0.30594637661395574,0.6034638445423679,0.6746460304847216,0.3858267716535433,0.3858267716535433,0.8211009174311926,0.17889908256880735,0.6141732283464567,0.6034638445423679,0.23982096428612726,0.9232262315340267,0.2144984557370666,-1.0409288428931711,0.15538408552051625,0.0,0.9661787310532334,4.75038154314275,0.14069102233156722,3
Gaussian Naive Bayes,Notebook03 nested-threshold,Development OOF,1,563,0.857095678347726,0.7777992312046711,0.9257865486259051,0.9596456692913385,0.82,0.968503937007874,0.9380733944954128,0.06192660550458716,0.031496062992125984,0.9532886657516434,0.05952133970950149,0.19994548257706712,0.05260579869807865,-0.12807946367777312,0.9197242219455919,0.0,0.5806013529392592,1.5929069370950852,0.41977355372463104,3
Gaussian Naive Bayes,Notebook03 nested-threshold,Development OOF,2,563,0.5912478482993895,0.687800974420536,0.7763005073659759,0.9255399841074912,0.5572139303482587,0.8818897637795275,0.7958715596330275,0.20412844036697247,0.11811023622047244,0.8388806617062775,0.09384090141863485,0.2926337096306291,0.06768669033977037,-0.058075295056493434,0.9503458645592182,0.0,0.7693789731595885,2.235905793695585,0.4714045207910317,3
Gaussian Naive Bayes,Notebook03 nested-threshold,Development OOF,3,563,0.6046209197532052,0.7476727358792864,0.7804020918775016,0.9407462255291483,0.558252427184466,0.905511811023622,0.7912844036697247,0.20871559633027523,0.09448818897637795,0.8483981073466733,0.08763944472059777,0.26716947571299804,0.06423394562583894,-0.6035743552814525,0.8557172592919612,-0.14907119849998599,0.6223297349317493,1.6644679149543158,0.5101837187005848,3
